County,Precinct Code,Precinct Name,Old Polling Place,New Poling Place,Address,Status
DESOTO,201,Rejoice Church,BEAUTIFUL SAVIOR LUTHERAN CHURCH,Rejoice Church,7540 DAVIDSON RD OLIVE BRANCH MS 38654,MOVED
DESOTO,202,Pathway Church,GRACEWOOD BAPTIST CHURCH,Pathway Church,7700 GETWELL RD N SOUTHAVEN MS 38672,MOVED
DESOTO,205,St Paul Missionary Baptist Church,SUMMERSHILL FIRE STATION,St Paul Missionary Baptist Church,5960 PLEASANT HILL RD OLIVE BRANCH MS 38654,MOVED
FORREST,CRT,D.R.E.A.M. Building,COURT STREET,"D.R.E.A.M. Building of Hattiesburg, Inc",614 W. Pine Street Hattiesburg MS 39401,MOVED
HINDS,38,PRECINCT 38,CHASTAIN ELEMENTARY SCHOOL,Midtown Charter School,4795 I-55 North JACKSON MS 39206,MOVED
HINDS,57,PRECINCT 57,JACKSON CONSISTORY 117,Pecan Park Elementary,415 Claiborne Ave JACKSON MS 39209,MOVED
HINDS,59,PRECINCT 59,WORD OF CHRIST CHURCH,Mississippi Baptist Seminary,3160 JOHN R. LYNCH STREET JACKSON MS 39209,MOVED
HINDS,61,PRECINCT 61,JAYNE AVE SR COMMUNITY CENTER,Police Training Academy,3000 St Charles St. JACKSON MS 39209,MOVED
HINDS,63,PRECINCT 63,DAVIS TEMPLE CHURCH OF GOD,College Hill Baptist Church,1600 Florence Ave JACKSON MS 39204,MOVED
MADISON,406,Liberty M. B. Church,GREATER MT LEVI FULL GOSPEL BAPTIST CHURCH,Lliberty M.B. Church,815 W FULTON ST CANTON MS 39046,MOVED
TALLAHATCHIE,203,SUMNER BEAT #2,OLD WIC BUILDING,Sumner 2 Butler's Funeral Home,113  COURT ST SUMNER MS 38957,MOVED
TALLAHATCHIE,403,GLENDORA,COUNTY CLINIC BUILDING,Sharkey Hampton Fire House,1162 Horton Drive Charleston MS 38921,MOVED
TALLAHATCHIE,502,SUMNER BEAT #5,R.H. BEARDEN ELEMENTARY PARENT CENTER,R.H. BEARDEN ELEMENTARY PARENT CENTER,1094 FRIENDSHIP ROAD SUMNER MS 38957,MOVED
